cycle	capacity	ce
1	150.97410861955285	96.41219839040694
2	149.33801054107187	95.7429408011772
3	150.51496986410442	97.02704877626365
4	149.37796623129276	97.52225657835481
5	148.0473581145869	97.3933234006324
6	146.82490261094918	97.86654619361461
7	146.66843977671888	98.12400502719957
8	144.82403528510758	97.65376937887663
9	146.26206724385295	97.9262727054792
10	146.51548494209612	98.52757755442994
11	148.50433402971694	98.59654837774337
12	146.35931051719453	98.35370310067545
13	143.90608650448894	98.38515523120113
14	142.68176002535677	98.72084804963065
15	144.1693345273164	99.15531210772185
16	145.33606254309012	98.80635687570778
17	143.42764532310045	99.51559925241295
18	144.21259853747338	98.6123768911458
19	142.76988279601568	98.98776083315727
20	143.7599143271805	98.78501927280347
21	139.9322611243117	99.17520207128334
22	144.37904537324172	98.63825548749764
23	139.94955838562774	99.73075175861896
24	142.45527853223197	98.29083605057352
25	140.50368343001793	99.65924030787576
26	140.38637765606015	99.0139291299605
27	139.8475052334489	99.20290350892832
28	140.2424798634695	99.51901850637086
29	140.19614881396313	99.33095437908493
30	140.74906521701752	98.69807423617611
31	140.9259769833916	99.23191809955986
32	138.96518427816042	99.74034335996114
33	140.69222703727314	98.63964184298547
34	137.91630147445233	99.8429163038862
35	139.04899129101102	99.1506334665252
36	137.73275730004343	98.8237225479984
37	135.9235746975312	98.64023923511219
38	136.67779140180448	98.90868336450293
39	136.82010904963394	98.21624972765588
40	135.67731550829	98.83256036186488
41	136.00600723993517	98.89373048817787
42	136.34672282693018	98.56933507105832
43	134.67641865462656	99.29840165478707
44	129.95928879145552	98.91189055258387
45	136.55700729351742	98.74518854293788
46	133.2585344406942	98.86946226836524
47	132.13615643071876	99.14171209306411
48	131.3519000640944	99.02901756924084
49	132.20121688802206	98.71938815836724
50	131.53041364071385	99.05007978989713
51	130.93849817930615	98.97958093569876
52	130.69112523331734	98.54409258080844
53	132.1800543520202	98.88449845855817
54	134.1029319147098	99.2316537101547
55	131.96100989659604	99.22878849715543
56	132.08763258695274	98.90795957025438
57	129.51201809666813	99.27066433597503
58	129.91034201493707	98.6079811368552
59	130.06908935455175	98.62037484649102
60	128.11685962329452	98.89947343783311
61	128.14523898763554	99.59900633261242
62	129.74410456004165	99.06528417626045
63	129.7769611739221	98.88984018807275
64	127.9226837492046	99.61764415739238
65	125.70967776264163	98.88521558460096
66	126.74066763836089	99.8938858925096
67	124.7044958915678	98.79548068997525
68	126.66252610420965	98.59530354631916
69	126.61684798867313	98.93345114753336
70	125.51248748382443	98.90036296955032
71	125.96671673393789	98.67690928626774
72	125.91588357031657	100.0407874017019
73	125.36298965361026	99.12744880171155
74	122.86334713937345	99.18569833494888
75	123.97447123879101	98.81524706953594
76	124.65863455890374	98.7689312442954
77	126.1022153874995	99.41022252207725
78	123.01731008304472	98.32966261943308
79	123.94328139483088	98.54285366108076
80	124.126840829583	98.90107614761628
81	122.20803084215778	99.54041855370969
82	123.91970908294319	98.85019290907387
83	123.69524701311099	99.16646037586723
84	123.65821399661985	99.01109126949399
85	121.97169570169616	99.51850319957721
86	124.52142190108533	98.36611065713507
87	119.75621606882767	99.29438517048578
88	123.56393607364019	98.92044033722112
89	121.22970024552197	99.36995360316001
90	121.78801381344664	98.67228709663996
91	118.9983065928112	99.00975717806811
92	120.44675242994576	98.95899727479909
93	121.02292364751325	98.59902577803827
94	116.95458947872453	98.48783476744812
95	118.04454422443838	98.76783543284355
96	114.78230012763623	99.05197243324928
97	117.43206267153464	98.69723509525554
98	116.18166844609009	98.86797056248935
99	116.78588158968876	98.24568104813657
100	121.20558249711772	98.8517400235619
