,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
r1,-0.1969522553342482,0.16722756679043937,0.3518099184382669,0.5675827463783456,0.5465047330792219,0.619875916918829,0.8560211301668152,0.7164697737389544,0.9712895328078993,0.8757773611592354
r2,0.3331704526353718,-0.09972000062911224,0.4966807681633982,0.44798623681404587,0.7486330217008142,0.5105577925884072,0.7957744935410369,0.9010149068351445,1.086776712010091,0.9015987209815151
r3,0.34946523983909294,-0.03584549228113809,0.31087603302097166,0.24300955412771574,0.8323105466037919,0.857803933279585,0.9800966182686361,1.2946378792497117,1.0479227772787507,1.3441393585047543
r4,0.34653780276862833,0.4271975335107228,0.8168807219713348,1.0830425393470748,0.6914844452050948,1.0556328071928656,1.0638233825293621,1.1773335956011992,1.2716577680289196,1.2667177350411016
r5,-0.27255166773989603,0.8625174204752533,0.5277201491321868,0.729466348787656,0.8448303088852712,0.8432393213493244,1.1591591395102356,1.2133597351378052,1.1900261375674257,1.4743048477747154
r6,0.5489462169638827,0.8522343809242872,0.5097012202414313,0.7278110247105323,1.1450595221674809,0.9831625224214665,1.0415417697132057,1.215275145131611,1.4242487011065679,1.5361197683421473
r7,0.6246749794462,0.5720647480880477,1.0435206743395953,1.2652439524515355,0.7290253738337649,0.911514098737517,1.5339047282883307,1.758403712569592,1.129719761214608,1.8297539669224332
r8,1.1053537550675336,0.7164064357223265,1.315933565378642,1.0755122549351097,1.285149640336846,1.1894866704239155,1.644650149648722,1.7224459790786488,2.011608537812631,2.0658992515998227
r9,0.8870588800454418,1.6216757230363794,1.3812696408058511,1.3303254292313536,1.133902453802611,1.1384378985989174,1.2665499841402232,1.4799335692817575,2.0532383089558235,1.9863066715563935
r10,0.8773253633263084,1.0839373089317696,1.170672941636645,1.493343467438066,1.2686848919572784,1.625492832778804,1.7266838218560066,1.6080041757471952,2.2064900947309587,1.9408857586953743
