energy	total	s	p	d
-8.0	7.453306344157342e-06	0.004443598615296923	1.735874863167526e-22	1.2177807523716078e-07
-7.982478097622027	8.313907968484188e-06	0.004682708799082945	2.323597947767307e-22	1.4046003330881187e-07
-7.964956195244055	9.269431862349774e-06	0.004933170709410446	3.107657703591336e-22	1.619065112333858e-07
-7.947434292866083	1.0329818309870647e-05	0.005195433630072362	4.152742402276531e-22	1.8651069843329064e-07
-7.92991239048811	1.1505987875508722e-05	0.005469959646351852	5.544551611769987e-22	2.147192928567459e-07
-7.9123904881101375	1.2809931401565432e-05	0.005757223743227671	7.396520944500418e-22	2.470394285817941e-07
-7.894868585732166	1.4254807565046447e-05	0.006057713888467386	9.858666488175833e-22	2.840464501528506e-07
-7.877346683354193	1.5855048558063694e-05	0.00637193109965291	1.3129206567696501e-21	3.263926303067827e-07
-7.85982478097622	1.762647449122469e-05	0.006700389494167947	1.746981920157475e-21	3.748169378847543e-07
-7.842302878598248	1.958641715631881e-05	0.007043616321163943	2.3225654550713326e-21	4.3015597381680164e-07
-7.824780976220275	2.1753853823039435e-05	0.007402151974509433	3.0851560559358013e-21	4.933562051838126e-07
-7.807259073842303	2.4149551784503873e-05	0.007776549985718186	4.09464197395067e-21	5.654876405866146e-07
-7.78973717146433	2.6796224407927796e-05	0.008167376995844257	5.42980651233222e-21	6.477591044689268e-07
-7.772215269086358	2.9718699489969337e-05	0.008575212705326175	7.194198172707816e-21	7.41535283738964e-07
-7.754693366708386	3.294410076096597e-05	0.00900064980076025	9.52379551859639e-21	8.483557371077771e-07
-7.737171464330413	3.650204342849298e-05	0.0094442938575817	1.2597006414020227e-20	9.699560761088665e-07
-7.719649561952441	4.042484469834913e-05	0.009906763217634153	1.6647700780504355e-20	1.1082915468862354e-06
-7.702127659574468	4.474775026016105e-05	0.010388688840613404	2.1982181789647818e-20	1.2655632636443325e-06
-7.684605757196495	4.950917777521093e-05	0.010890714128377678	2.9001265654258603e-20	1.4442473682543487e-06
-7.667083854818523	5.475097845577366e-05	0.011413494721127524	3.822898176290329e-20	1.647127416022693e-06
-7.649561952440551	6.051871787806759e-05	0.011957698264471597	5.034984437216404e-20	1.8773303151688416e-06
-7.632040050062578	6.686197722478926e-05	0.012524004146410458	6.625721194275101e-20	2.1383661772529344e-06
-7.614518147684606	7.38346762079717e-05	0.013113103203291019	8.711597557327375e-20	2.4341724677652046e-06
-7.5969962453066335	8.149541897841769e-05	0.013725697393806422	1.1444374856406408e-19	2.769162880466895e-06
-7.579474342928661	8.990786438405032e-05	0.014362499440142357	1.5021592185180603e-19	3.148281395985474e-06
-7.561952440550688	9.914112199601156e-05	0.015024232435401587	1.9700147727494478e-19	3.5770620247491777e-06
-7.5444305381727155	0.00010927017537796821	0.01571162941647072	2.581384043129078e-19	4.061694776724992e-06
-7.526908635794744	0.00012037633413067003	0.01642543290153111	3.3796006278962626e-19	4.609098445735106e-06
-7.509386733416771	0.00013254771630003727	0.01716639439145635	4.420870220063123e-19	5.227000844497575e-06
-7.491864831038798	0.0001458797627926541	0.01793527383438295	5.778029732800849e-19	5.924027178092411e-06
-7.4743429286608265	0.00016047578549724387	0.018732839052790096	7.545384950562506e-19	6.709797298423084e-06
-7.456821026282854	0.00017644755086405024	0.019559865132476064	9.844930473989575e-19	7.5950326405356085e-06
-7.439299123904881	0.00019391590074579847	0.020417133772874574	1.2834339643044183e-18	8.591673703489075e-06
-7.421777221526908	0.0002130114123535796	0.021305432598215768	1.671721875494151e-18	9.71300900394318e-06
-7.404255319148936	0.00023387509922816565	0.02222555442909918	2.175625526016215e-18	1.0973816499828112e-05
-7.386733416770964	0.00025665915517151296	0.0231782965141146	2.8290061299082964e-18	1.2390518554471459e-05
-7.369211514392991	0.0002815277431239759	0.024164459721218685	3.6754731464860454e-18	1.3981351588438255e-05
-7.351689612015019	0.0003086578310095705	0.02518484768864984	4.771140902136908e-18	1.576655164713599e-05
-7.334167709637047	0.0003382400766039311	0.026240265935244908	6.188150300119222e-18	1.7768557196977905e-05
-7.316645807259074	0.0003704797635067761	0.027331520930103173	8.019163850891361e-18	2.001223055158248e-05
-7.299123904881101	0.00040559779032211	0.0284594191216299	1.0383097777395015e-17	2.252509942208835e-05
-7.281602002503129	0.0004438317151645188	0.029624765926083714	1.3432424958748603e-17	2.5337620182146267e-05
-7.264080100125156	0.00048543685761784215	0.030828364675844058	1.7362470666505084e-17	2.848346453839958e-05
-7.246558197747184	0.0005306874602727731	0.03207101552771359	2.2423234034158507e-17	3.1999831401188966e-05
-7.2290362953692116	0.000579877911961631	0.03335351433167082	2.8934407739647664e-17	3.592778585764307e-05
-7.211514392991239	0.0006333240347909546	0.03467665146059047	3.7304443647194523e-17	4.0312627260026746e-05
-7.193992490613267	0.000691364437044983	0.03604121060155836	4.8054732082375814e-17	4.520428855600094e-05
-7.176470588235294	0.0007543619339944582	0.03744796750951396	6.185023811440401e-17	5.06577691039469e-05
-7.158948685857322	0.0008227050385949482	0.03889768872406689	7.953828349880584e-17	5.6733603335408774e-05
-7.141426783479349	0.0008968095239961007	0.04039113025044827	1.0219759492962063e-16	6.34983677475763e-05
-7.123904881101376	0.0009771200597067829	0.04192903620567278	1.3120027921348526e-16	7.10252288310718e-05
-7.1063829787234045	0.0010641119231705211	0.04351213743110598	1.6829006023172435e-16	7.939453466159757e-05
-7.088861076345432	0.0011582927883997008	0.04514115007275135	2.1568095367447592e-16	8.86944530075884e-05
-7.071339173967459	0.001260204593194884	0.04681677413069088	2.761816037784838e-16	9.902165892922508e-05
-7.053817271589487	0.0013704254863367007	0.04853969197923747	3.533518114016133e-16	0.00011048207496620314
-7.036295369211515	0.0014895718559805456	0.05031056685947802	4.5169940606021765e-16	0.0001231916671316572
-7.018773466833542	0.001618300440308595	0.05213004134600886	5.769276316298068e-16	0.0001372773000466461
-7.001251564455569	0.0017573105212982082	0.05399873578979053	7.362457193164348e-16	0.00015287765466260502
-6.983729662077597	0.0019073462022495486	0.055917246739169306	9.3875842667597e-16	0.00017014421212695752
-6.966207759699625	0.002069198769478087	0.057886145341235956	1.1959541684651955e-15	0.00018924230744848318
-6.948685857321652	0.0022437091383179734	0.0599059757258141	1.5223161264582153e-15	0.00021035225671268564
